MSSubClass,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SalePrice
0.3157894736842105,0.039257590187925386,0.7,0.5555555555555556,0.9965174129353234,0.9965174129353234,0.12508858965272857,0.0,0.0642123287671233,0.14009819967266776,0.1824381926683717,0.4135593220338983,0.0,0.3030840127614321,0.3333333333333333,0.0,0.6666666666666666,0.5,0.375,0.3333333333333333,0.5714285714285714,0.0,0.5,0.38645980253878703,0.0,0.11151736745886655,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.9990049751243781,0.276158940397351
0.10526315789473684,0.04460033914841227,0.6,0.8888888888888888,0.9830845771144279,0.9830845771144279,0.1732813607370659,0.0,0.12157534246575342,0.20654664484451718,0.2689684569479966,0.0,0.0,0.22367954626019143,0.0,0.5,0.6666666666666666,0.0,0.375,0.3333333333333333,0.42857142857142855,0.3333333333333333,0.5,0.3244005641748942,0.34772462077012833,0.0,0.0,0.0,0.0,0.0,0.0,0.4166666666666667,0.9985074626865672,0.24039735099337747
0.3157894736842105,0.05226602243954563,0.7,0.5555555555555556,0.9955223880597015,0.9960199004975124,0.08610914245216159,0.0,0.1857876712328767,0.15057283142389524,0.19607843137254902,0.41937046004842615,0.0,0.3165544133286069,0.3333333333333333,0.0,0.6666666666666666,0.5,0.375,0.3333333333333333,0.42857142857142855,0.3333333333333333,0.5,0.4287729196050776,0.0,0.07678244972577697,0.0,0.0,0.0,0.0,0.0,0.75,0.9990049751243781,0.29602649006622517
0.3684210526315789,0.04436804571534763,0.7,0.5555555555555556,0.9527363184079602,0.9800995024875622,0.03827072997873848,0.0,0.23116438356164384,0.1237315875613748,0.2048167092924126,0.36610169491525424,0.0,0.304324707550514,0.3333333333333333,0.0,0.3333333333333333,0.0,0.375,0.3333333333333333,0.5,0.3333333333333333,0.75,0.4527503526093089,0.0,0.06398537477148081,0.4927536231884058,0.0,0.0,0.0,0.0,0.16666666666666666,0.9980099502487563,0.18543046357615894
0.3157894736842105,0.0662500871100374,0.8,0.5555555555555556,0.9950248756218906,0.9950248756218906,0.11605244507441531,0.0,0.20976027397260275,0.18739770867430441,0.2440323955669224,0.5099273607748184,0.0,0.38957816377171217,0.3333333333333333,0.0,0.6666666666666666,0.5,0.5,0.3333333333333333,0.6428571428571429,0.3333333333333333,0.75,0.5895627644569816,0.22403733955659277,0.15356489945155394,0.0,0.0,0.0,0.0,0.0,1.0,0.9990049751243781,0.33112582781456956
0.2631578947368421,0.06557643615414992,0.5,0.5555555555555556,0.9915422885572139,0.9925373134328358,0.12969525159461376,0.0,0.0273972602739726,0.13027823240589198,0.16965046888320545,0.27409200968523,0.0,0.24140375753278978,0.3333333333333333,0.0,0.3333333333333333,0.5,0.125,0.3333333333333333,0.35714285714285715,0.0,0.5,0.3385049365303244,0.046674445740956826,0.054844606946983544,0.0,0.6299212598425197,0.0,0.0,0.04516129032258064,0.8333333333333334,0.9995024875621891,0.18940397350993377
0.10526315789473684,0.04684893958047806,0.8,0.5555555555555556,0.9970149253731343,0.9975124378109452,0.24255846917080084,0.0,0.13570205479452055,0.27594108019639935,0.3610400682011935,0.0,0.0,0.3002481389578164,0.3333333333333333,0.0,0.6666666666666666,0.0,0.375,0.3333333333333333,0.5,0.3333333333333333,0.5,0.44851904090267986,0.2975495915985998,0.10420475319926874,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.9985074626865672,0.4066225165562914
0.3157894736842105,0.048233408441543356,0.7,0.6666666666666666,0.9815920398009951,0.9815920398009951,0.15219702338766833,0.021709633649932156,0.09246575342465753,0.18117839607201308,0.23593350383631714,0.47602905569007264,0.0,0.37043601559730593,0.3333333333333333,0.0,0.6666666666666666,0.5,0.375,0.3333333333333333,0.5,0.6666666666666666,0.5,0.34132581100141046,0.2742123687281214,0.37294332723948814,0.41304347826086957,0.0,0.0,0.0,0.02258064516129032,0.9166666666666666,0.9995024875621891,0.26490066225165565
0.2631578947368421,0.028432716207112824,0.7,0.5555555555555556,0.9606965174129353,0.9701492537313433,0.0,0.0,0.4075342465753425,0.155810147299509,0.21781756180733164,0.3641646489104116,0.0,0.3144275079758951,0.0,0.0,0.6666666666666666,0.0,0.25,0.6666666666666666,0.5714285714285714,0.6666666666666666,0.5,0.3300423131170663,0.10501750291715285,0.0,0.3713768115942029,0.0,0.0,0.0,0.0,0.3333333333333333,0.9990049751243781,0.17205298013245032
1.0,0.034472345466793654,0.5,0.6666666666666666,0.9646766169154228,0.9701492537313433,0.15077958894401133,0.0,0.059931506849315065,0.16219312602291325,0.22953964194373402,0.0,0.0,0.19088975540588443,0.3333333333333333,0.0,0.3333333333333333,0.0,0.25,0.6666666666666666,0.35714285714285715,0.6666666666666666,0.25,0.14456981664315938,0.0,0.007312614259597806,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.9990049751243781,0.1562913907284768
